cliente_id,razao_social,cnpj,porte,gestor_id,data_cadastro,ativo
45,Industria Souza ME,10000045000115,MEI,16,2025-01-30,1
46,Alimentos Silva Ltda,10000046000122,ME,2,2025-09-15,1
47,Comercial Norte Ltda,10000047000129,EPP,6,2025-02-05,1
48,Servicos Central Ltda,10000048000136,EPP,3,2025-10-19,1
49,Papelaria Norte Ltda,10000049000143,ME,8,2025-08-03,1
50,Confeccoes Souza ME,10000050000150,MEI,11,2025-07-22,1
51,Confeccoes Central ME,10000051000157,EPP,5,2026-04-25,1
52,Comercial Central e Cia,10000052000164,GRANDE,3,2025-02-21,1
53,Transportes Souza e Cia,10000053000171,MEI,3,2026-04-23,1
54,Distribuidora Souza ME,10000054000178,MEI,12,2025-08-13,1
55,Papelaria Litoral e Cia,10000055000185,MEI,10,2026-02-23,1
56,Distribuidora Souza ME,10000056000192,MEI,10,2025-02-24,1
57,Confeccoes Oeste e Cia,10000057000199,MEI,5,2025-06-25,1
58,Confeccoes Norte S.A.,10000058000106,MEI,7,2026-04-10,1
59,Distribuidora Litoral S.A.,10000059000113,EPP,2,2025-01-23,1
60,Alimentos Souza ME,10000060000120,MEI,1,2025-08-15,1
61,Transportes Silva Ltda,10000061000127,MEI,14,2026-03-29,1
62,Transportes Silva ME,10000062000134,ME,5,2025-03-17,1
63,Industria Silva ME,10000063000141,MEI,14,2026-04-23,1
64,Alimentos Souza EIRELI,10000064000148,ME,2,2025-07-01,1
65,Papelaria Litoral EIRELI,10000065000155,EPP,14,2025-05-02,1
66,Industria Central Ltda,10000066000162,MEI,6,2026-04-19,1
67,Tecnologia Litoral EIRELI,10000067000169,MEI,11,2026-02-08,1
68,Tecnologia Silva S.A.,10000068000176,MEI,4,2026-02-23,1
69,Alimentos Oeste EIRELI,10000069000183,MEI,15,2025-12-04,1
70,Tecnologia Oeste ME,10000070000190,EPP,7,2026-05-11,1
71,Alimentos Litoral e Cia,10000071000197,MEI,9,2026-03-08,1
72,Comercial Silva ME,10000072000104,MEI,11,2026-05-08,1
73,Comercial Silva e Cia,10000073000111,MEI,9,2026-01-09,1
74,Tecnologia Norte e Cia,10000074000118,MEI,11,2026-04-06,1
75,Confeccoes Silva S.A.,10000075000125,MEI,7,2026-04-19,1
76,Alimentos Central Ltda,10000076000132,EPP,7,2026-04-17,1
77,Papelaria Oeste Ltda,10000077000139,ME,11,2025-06-03,1
78,Tecnologia Oeste S.A.,10000078000146,ME,10,2025-10-11,1
79,Servicos Central S.A.,10000079000153,ME,5,2026-04-08,1
80,Papelaria Norte ME,10000080000160,MEI,6,2026-03-03,1
81,Confeccoes Oeste EIRELI,10000081000167,MEI,1,2025-10-24,1
82,Construtora Central S.A.,10000082000174,ME,11,2025-09-19,1
83,Industria Litoral Ltda,10000083000181,MEI,16,2025-12-06,1
84,Distribuidora Souza ME,10000084000188,MEI,11,2025-04-12,1
85,Comercial Silva EIRELI,10000085000195,MEDIA,5,2025-11-09,1
86,Construtora Central e Cia,10000086000102,MEI,3,2025-12-23,1
87,Construtora Central EIRELI,10000087000109,MEI,13,2025-12-19,1
88,Distribuidora Central EIRELI,10000088000116,MEI,1,2026-05-06,1
89,Comercial Norte EIRELI,10000089000123,EPP,15,2025-03-04,1
90,Industria Central e Cia,10000090000130,MEDIA,15,2025-11-01,1
91,Construtora Norte e Cia,10000091000137,MEI,11,2026-04-10,1
92,Industria Litoral S.A.,10000092000144,ME,15,2026-01-20,1
93,Confeccoes Norte S.A.,10000093000151,ME,8,2025-05-21,1
94,Distribuidora Litoral ME,10000094000158,MEI,15,2025-06-21,1
95,Transportes Silva EIRELI,10000095000165,MEI,11,2025-07-16,1
96,Servicos Silva S.A.,10000096000172,MEI,5,2025-10-05,1
97,Tecnologia Silva EIRELI,10000097000179,EPP,15,2025-07-19,1
98,Papelaria Central S.A.,10000098000186,MEI,1,2025-06-30,1
99,Tecnologia Central e Cia,10000099000193,ME,10,2025-10-07,1
100,Construtora Souza ME,10000100000100,MEI,8,2025-01-15,1
101,Alimentos Litoral S.A.,10000101000107,ME,13,2026-03-07,1
102,Industria Norte e Cia,10000102000114,MEI,15,2025-07-21,1
103,Distribuidora Litoral S.A.,10000103000121,MEI,1,2025-08-25,1
104,Comercial Oeste S.A.,10000104000128,MEI,6,2025-08-21,1
105,Alimentos Central ME,10000105000135,ME,11,2026-03-02,1
106,Confeccoes Silva S.A.,10000106000142,MEI,14,2025-10-04,1
107,Alimentos Souza Ltda,10000107000149,ME,2,2025-11-30,1
108,Comercial Souza EIRELI,10000108000156,EPP,2,2025-11-15,1
109,Servicos Souza S.A.,10000109000163,ME,5,2025-10-16,1
110,Construtora Litoral ME,10000110000170,ME,7,2025-03-27,1
111,Industria Oeste Ltda,10000111000177,ME,4,2026-04-21,1
112,Papelaria Litoral S.A.,10000112000184,MEI,10,2026-01-02,1
113,Distribuidora Norte EIRELI,10000113000191,MEI,7,2026-01-31,1
114,Papelaria Silva e Cia,10000114000198,ME,10,2025-06-27,1
115,Alimentos Silva e Cia,10000115000105,ME,14,2025-01-07,1
116,Construtora Silva S.A.,10000116000112,MEDIA,14,2025-11-22,1
117,Industria Central EIRELI,10000117000119,ME,15,2026-05-10,1
118,Papelaria Norte S.A.,10000118000126,ME,9,2026-02-27,1
119,Alimentos Souza Ltda,10000119000133,MEI,9,2025-08-19,1
120,Construtora Norte e Cia,10000120000140,ME,8,2025-06-22,1
121,Construtora Oeste EIRELI,10000121000147,ME,1,2025-07-01,1
122,Alimentos Oeste e Cia,10000122000154,ME,9,2025-05-22,1
123,Transportes Souza Ltda,10000123000161,MEI,1,2025-07-28,1
124,Transportes Souza S.A.,10000124000168,ME,16,2025-09-09,1
125,Comercial Silva ME,10000125000175,MEI,15,2025-12-21,1
126,Confeccoes Litoral e Cia,10000126000182,MEI,8,2025-10-11,1
127,Tecnologia Litoral e Cia,10000127000189,MEI,12,2025-12-26,1
128,Confeccoes Oeste ME,10000128000196,MEI,15,2026-01-05,1
129,Alimentos Silva e Cia,10000129000103,MEDIA,7,2025-12-20,1
130,Servicos Souza S.A.,10000130000110,MEI,6,2025-10-29,1
131,Distribuidora Souza ME,10000131000117,MEI,10,2025-04-02,1
132,Comercial Litoral e Cia,10000132000124,MEI,10,2025-01-24,1
133,Transportes Oeste EIRELI,10000133000131,ME,2,2026-01-21,1
134,Distribuidora Silva e Cia,10000134000138,MEI,16,2025-09-03,1
135,Alimentos Souza Ltda,10000135000145,MEI,15,2026-03-18,1
136,Distribuidora Silva S.A.,10000136000152,ME,16,2025-10-23,1
137,Industria Souza e Cia,10000137000159,EPP,2,2025-02-13,1
138,Distribuidora Norte S.A.,10000138000166,ME,8,2026-02-09,1
139,Transportes Central S.A.,10000139000173,EPP,8,2025-06-02,1
140,Confeccoes Norte e Cia,10000140000180,MEI,14,2026-05-07,1
141,Servicos Litoral EIRELI,10000141000187,MEI,4,2025-02-11,1
142,Servicos Souza e Cia,10000142000194,MEI,6,2025-01-02,1
143,Construtora Litoral e Cia,10000143000101,ME,14,2025-01-17,1
144,Confeccoes Litoral ME,10000144000108,ME,8,2025-08-21,1
145,Servicos Oeste e Cia,10000145000115,ME,3,2026-04-24,1
146,Tecnologia Silva e Cia,10000146000122,MEI,7,2025-03-18,1
147,Industria Silva Ltda,10000147000129,MEI,9,2025-06-07,1
148,Construtora Silva S.A.,10000148000136,ME,10,2025-12-25,1
149,Confeccoes Norte e Cia,10000149000143,ME,13,2025-02-11,1
150,Tecnologia Litoral ME,10000150000150,ME,2,2025-01-14,1
151,Servicos Litoral e Cia,10000151000157,ME,3,2025-01-11,1
152,Papelaria Silva EIRELI,10000152000164,ME,9,2025-11-30,1
153,Confeccoes Souza e Cia,10000153000171,MEI,15,2026-02-21,1
154,Distribuidora Central ME,10000154000178,MEI,16,2025-06-14,1
155,Industria Oeste S.A.,10000155000185,ME,4,2025-05-28,1
156,Transportes Silva S.A.,10000156000192,MEI,13,2025-05-10,1
157,Distribuidora Central e Cia,10000157000199,EPP,11,2025-01-01,1
158,Tecnologia Silva EIRELI,10000158000106,ME,15,2025-11-15,1
159,Construtora Silva EIRELI,10000159000113,MEI,16,2025-03-09,1
160,Construtora Litoral S.A.,10000160000120,MEI,10,2026-05-14,1
161,Industria Oeste e Cia,10000161000127,MEI,8,2025-07-28,1
162,Servicos Silva S.A.,10000162000134,EPP,3,2025-11-28,1
163,Construtora Litoral ME,10000163000141,ME,5,2025-05-20,1
164,Construtora Central EIRELI,10000164000148,ME,14,2025-03-16,1
165,Servicos Norte e Cia,10000165000155,ME,13,2025-03-11,1
166,Confeccoes Central ME,10000166000162,EPP,3,2025-09-17,1
167,Comercial Oeste ME,10000167000169,EPP,9,2025-10-24,1
168,Industria Central e Cia,10000168000176,ME,16,2025-06-20,1
169,Construtora Oeste EIRELI,10000169000183,MEDIA,13,2025-05-03,1
170,Servicos Central Ltda,10000170000190,MEI,13,2025-08-31,1
171,Tecnologia Litoral EIRELI,10000171000197,ME,13,2025-01-19,1
172,Transportes Norte ME,10000172000104,EPP,5,2026-03-24,1
173,Distribuidora Norte S.A.,10000173000111,MEI,15,2025-03-15,1
174,Industria Silva S.A.,10000174000118,ME,14,2025-05-16,1
175,Papelaria Litoral S.A.,10000175000125,ME,11,2026-03-13,1
176,Transportes Central ME,10000176000132,ME,11,2026-03-31,1
177,Transportes Silva e Cia,10000177000139,MEI,16,2025-11-20,1
178,Servicos Litoral Ltda,10000178000146,MEI,10,2025-02-20,1
179,Construtora Souza ME,10000179000153,EPP,4,2025-01-24,1
180,Comercial Oeste ME,10000180000160,MEI,11,2025-03-16,1
181,Transportes Central e Cia,10000181000167,ME,8,2025-04-03,1
182,Industria Silva e Cia,10000182000174,EPP,6,2025-11-14,1
183,Construtora Norte EIRELI,10000183000181,MEI,8,2025-11-23,1
184,Construtora Oeste Ltda,10000184000188,EPP,9,2025-08-27,1
185,Transportes Souza Ltda,10000185000195,MEI,10,2025-06-26,1
186,Tecnologia Litoral ME,10000186000102,ME,10,2025-06-04,1
187,Tecnologia Central Ltda,10000187000109,MEI,7,2025-10-20,1
188,Papelaria Oeste ME,10000188000116,MEI,12,2026-03-01,1
189,Confeccoes Silva e Cia,10000189000123,EPP,13,2026-02-03,1
190,Papelaria Litoral S.A.,10000190000130,EPP,2,2026-04-08,1
191,Servicos Norte ME,10000191000137,MEI,10,2025-04-08,1
192,Industria Litoral Ltda,10000192000144,EPP,9,2025-11-27,1
193,Confeccoes Central Ltda,10000193000151,ME,2,2026-01-10,1
194,Distribuidora Oeste ME,10000194000158,ME,5,2025-03-31,1
195,Industria Norte ME,10000195000165,ME,7,2026-04-13,1
196,Industria Oeste S.A.,10000196000172,MEDIA,9,2025-06-01,1
197,Distribuidora Central Ltda,10000197000179,MEI,11,2026-05-10,1
198,Tecnologia Norte ME,10000198000186,MEI,8,2025-07-22,1
199,Confeccoes Norte Ltda,10000199000193,ME,1,2025-12-11,1
200,Papelaria Central ME,10000200000100,MEI,9,2025-04-30,1
201,Comercial Norte e Cia,10000201000107,MEI,16,2025-11-09,1
202,Distribuidora Litoral S.A.,10000202000114,EPP,8,2025-06-04,1
203,Distribuidora Souza Ltda,10000203000121,EPP,14,2025-06-05,1
204,Distribuidora Silva EIRELI,10000204000128,EPP,16,2025-03-11,1
205,Construtora Oeste e Cia,10000205000135,MEI,13,2026-01-16,1
206,Tecnologia Litoral Ltda,10000206000142,EPP,5,2025-11-12,1
207,Confeccoes Silva ME,10000207000149,MEI,14,2025-08-16,1
208,Alimentos Silva ME,10000208000156,ME,8,2026-05-16,1
209,Comercial Central ME,10000209000163,MEI,12,2025-03-04,1
210,Distribuidora Litoral EIRELI,10000210000170,ME,15,2025-11-02,1
211,Comercial Oeste EIRELI,10000211000177,MEDIA,1,2026-02-07,1
212,Distribuidora Norte EIRELI,10000212000184,ME,7,2026-02-21,1
213,Alimentos Souza e Cia,10000213000191,MEI,8,2026-03-16,1
214,Industria Norte ME,10000214000198,ME,5,2025-02-26,1
215,Industria Silva ME,10000215000105,ME,1,2025-05-02,1
216,Comercial Souza ME,10000216000112,MEI,11,2026-01-15,1
217,Transportes Silva Ltda,10000217000119,ME,14,2026-02-03,1
218,Transportes Norte Ltda,10000218000126,ME,12,2025-04-24,1
219,Transportes Oeste S.A.,10000219000133,ME,2,2025-01-16,1
220,Construtora Central S.A.,10000220000140,ME,2,2025-09-09,1
221,Distribuidora Silva ME,10000221000147,ME,15,2025-02-03,1
222,Confeccoes Norte e Cia,10000222000154,ME,5,2025-06-16,1
223,Papelaria Norte ME,10000223000161,ME,13,2025-11-06,1
224,Distribuidora Litoral Ltda,10000224000168,EPP,14,2025-11-30,1
225,Tecnologia Central EIRELI,10000225000175,MEI,7,2026-02-28,1
226,Tecnologia Central Ltda,10000226000182,MEI,15,2025-06-10,1
227,Alimentos Souza S.A.,10000227000189,MEI,9,2026-03-02,1
228,Distribuidora Central Ltda,10000228000196,ME,3,2025-07-10,1
229,Transportes Silva e Cia,10000229000103,MEDIA,5,2025-10-15,1
230,Distribuidora Central ME,10000230000110,EPP,11,2026-04-27,1
231,Comercial Oeste e Cia,10000231000117,MEI,14,2025-02-23,1
232,Industria Litoral S.A.,10000232000124,MEI,7,2025-02-25,1
233,Transportes Oeste Ltda,10000233000131,ME,12,2025-10-21,1
234,Tecnologia Norte e Cia,10000234000138,ME,8,2025-11-26,1
235,Papelaria Litoral ME,10000235000145,MEI,1,2025-05-20,1
236,Alimentos Oeste Ltda,10000236000152,MEI,10,2025-03-15,1
237,Distribuidora Souza Ltda,10000237000159,MEI,13,2025-09-29,1
238,Tecnologia Central S.A.,10000238000166,MEI,7,2025-07-09,1
239,Alimentos Norte e Cia,10000239000173,MEI,10,2025-01-27,1
240,Industria Norte Ltda,10000240000180,ME,5,2025-05-20,1
241,Tecnologia Central e Cia,10000241000187,MEI,15,2025-05-20,1
242,Transportes Silva ME,10000242000194,MEI,7,2025-05-26,1
243,Transportes Litoral ME,10000243000101,MEI,16,2025-07-22,1
244,Comercial Souza ME,10000244000108,EPP,2,2026-01-28,1
245,Confeccoes Oeste ME,10000245000115,MEI,5,2025-09-12,1
246,Industria Souza S.A.,10000246000122,ME,14,2025-04-28,1
247,Distribuidora Central Ltda,10000247000129,MEI,12,2025-08-24,1
248,Alimentos Norte S.A.,10000248000136,ME,3,2025-12-30,1
249,Confeccoes Silva S.A.,10000249000143,MEI,14,2025-06-16,1
250,Papelaria Central ME,10000250000150,MEI,6,2026-03-09,1
251,Servicos Central e Cia,10000251000157,MEI,4,2025-02-10,1
252,Confeccoes Litoral ME,10000252000164,MEI,13,2026-02-03,1
253,Distribuidora Norte Ltda,10000253000171,ME,6,2025-04-10,1
254,Alimentos Litoral EIRELI,10000254000178,MEI,12,2025-03-16,1
255,Servicos Souza e Cia,10000255000185,MEI,9,2026-01-24,1
256,Industria Litoral S.A.,10000256000192,ME,3,2025-10-16,1
257,Papelaria Litoral e Cia,10000257000199,MEI,15,2026-05-13,1
258,Industria Central Ltda,10000258000106,ME,11,2025-11-20,1
259,Confeccoes Norte Ltda,10000259000113,MEI,10,2025-02-07,1
260,Construtora Central Ltda,10000260000120,MEI,10,2026-03-02,1
261,Distribuidora Litoral Ltda,10000261000127,ME,10,2025-09-17,1
262,Construtora Norte e Cia,10000262000134,MEDIA,13,2026-01-14,1
263,Construtora Norte EIRELI,10000263000141,MEI,2,2025-09-01,1
264,Comercial Central Ltda,10000264000148,EPP,5,2026-03-05,1
265,Distribuidora Norte EIRELI,10000265000155,MEI,11,2025-12-29,1
266,Construtora Norte e Cia,10000266000162,ME,15,2025-07-06,1
267,Confeccoes Central S.A.,10000267000169,ME,12,2025-12-14,1
268,Alimentos Silva ME,10000268000176,MEI,2,2025-12-14,1
269,Confeccoes Oeste e Cia,10000269000183,EPP,13,2025-06-20,1
270,Papelaria Litoral EIRELI,10000270000190,EPP,3,2025-06-08,1
271,Industria Norte Ltda,10000271000197,MEI,13,2025-07-12,1
272,Industria Litoral e Cia,10000272000104,MEI,11,2025-12-10,1
273,Transportes Oeste Ltda,10000273000111,MEI,14,2025-04-03,1
274,Alimentos Central EIRELI,10000274000118,MEI,7,2025-03-12,1
275,Distribuidora Oeste Ltda,10000275000125,ME,5,2025-10-04,1
276,Alimentos Norte EIRELI,10000276000132,ME,2,2025-03-20,1
277,Industria Litoral e Cia,10000277000139,EPP,6,2025-03-26,1
278,Comercial Central ME,10000278000146,ME,15,2025-05-02,1
279,Papelaria Oeste S.A.,10000279000153,MEI,15,2025-05-03,1
280,Construtora Souza ME,10000280000160,ME,10,2025-10-20,1
281,Construtora Oeste S.A.,10000281000167,ME,15,2025-08-03,1
282,Servicos Norte EIRELI,10000282000174,EPP,6,2025-01-27,1
283,Alimentos Norte Ltda,10000283000181,ME,16,2025-09-22,1
284,Confeccoes Silva EIRELI,10000284000188,MEI,4,2026-04-09,1
285,Tecnologia Silva EIRELI,10000285000195,EPP,5,2026-03-29,1
286,Comercial Central Ltda,10000286000102,MEI,12,2025-07-11,1
287,Tecnologia Silva ME,10000287000109,MEI,8,2025-06-13,1
288,Alimentos Souza EIRELI,10000288000116,MEI,4,2026-04-15,1
289,Industria Litoral S.A.,10000289000123,MEI,16,2025-01-03,1
290,Comercial Oeste EIRELI,10000290000130,EPP,3,2025-10-08,1
291,Distribuidora Oeste EIRELI,10000291000137,MEI,14,2025-01-25,1
292,Tecnologia Litoral e Cia,10000292000144,ME,8,2025-02-26,1
293,Papelaria Norte Ltda,10000293000151,ME,16,2025-10-22,1
294,Industria Oeste S.A.,10000294000158,MEI,8,2025-06-30,1
295,Papelaria Central EIRELI,10000295000165,ME,8,2025-02-13,1
296,Distribuidora Norte e Cia,10000296000172,ME,12,2025-09-17,1
297,Tecnologia Central Ltda,10000297000179,ME,1,2025-07-11,1
298,Comercial Oeste Ltda,10000298000186,MEI,9,2026-01-11,1
299,Papelaria Litoral ME,10000299000193,MEI,4,2025-06-30,1
300,Industria Litoral S.A.,10000300000100,MEDIA,11,2025-09-03,1
301,Industria Silva S.A.,10000301000107,MEI,6,2025-04-14,1
302,Servicos Silva ME,10000302000114,EPP,2,2025-09-21,1
303,Transportes Central ME,10000303000121,MEI,13,2025-11-28,1
304,Confeccoes Oeste Ltda,10000304000128,EPP,7,2025-06-19,1
305,Distribuidora Oeste S.A.,10000305000135,EPP,9,2026-01-16,1
306,Tecnologia Oeste EIRELI,10000306000142,ME,15,2025-09-12,1
307,Transportes Oeste Ltda,10000307000149,ME,12,2025-02-10,1
308,Papelaria Souza e Cia,10000308000156,MEI,14,2025-02-22,1
309,Alimentos Litoral ME,10000309000163,MEI,3,2025-11-05,1
310,Industria Litoral S.A.,10000310000170,MEI,14,2025-01-22,1
311,Papelaria Central ME,10000311000177,ME,12,2026-02-10,1
312,Distribuidora Litoral S.A.,10000312000184,MEI,2,2026-02-15,1
313,Comercial Souza e Cia,10000313000191,ME,6,2025-08-13,1
314,Industria Silva EIRELI,10000314000198,ME,2,2025-07-07,1
315,Tecnologia Norte Ltda,10000315000105,ME,12,2025-12-14,1
316,Alimentos Oeste S.A.,10000316000112,ME,15,2025-10-21,1
317,Transportes Oeste S.A.,10000317000119,MEI,5,2025-05-23,1
318,Distribuidora Silva EIRELI,10000318000126,ME,8,2025-07-18,1
319,Confeccoes Oeste S.A.,10000319000133,MEI,4,2025-11-10,1
320,Construtora Souza Ltda,10000320000140,MEI,10,2025-02-07,1
321,Industria Litoral S.A.,10000321000147,GRANDE,15,2026-02-19,1
322,Alimentos Litoral Ltda,10000322000154,ME,11,2025-05-29,1
323,Industria Litoral EIRELI,10000323000161,ME,10,2025-09-18,1
324,Distribuidora Souza EIRELI,10000324000168,MEI,8,2025-09-10,1
325,Alimentos Norte e Cia,10000325000175,MEI,1,2026-02-16,1
326,Papelaria Silva Ltda,10000326000182,MEI,5,2026-01-03,1
327,Transportes Central S.A.,10000327000189,EPP,16,2025-02-07,1
328,Alimentos Litoral Ltda,10000328000196,MEI,5,2025-12-15,1
329,Industria Norte e Cia,10000329000103,MEI,12,2026-05-10,1
330,Tecnologia Norte Ltda,10000330000110,EPP,5,2025-09-23,1
331,Confeccoes Souza EIRELI,10000331000117,MEI,5,2025-12-30,1
332,Alimentos Norte ME,10000332000124,EPP,8,2025-05-09,1
333,Transportes Oeste EIRELI,10000333000131,ME,7,2025-11-11,1
334,Transportes Litoral EIRELI,10000334000138,ME,3,2025-10-25,1
335,Industria Litoral e Cia,10000335000145,ME,5,2025-11-06,1
336,Papelaria Silva Ltda,10000336000152,MEI,11,2026-05-01,1
337,Servicos Norte S.A.,10000337000159,ME,9,2025-01-16,1
338,Transportes Oeste ME,10000338000166,ME,16,2026-02-17,1
339,Confeccoes Central Ltda,10000339000173,ME,13,2025-03-22,1
340,Tecnologia Central S.A.,10000340000180,MEI,15,2025-11-07,1
341,Alimentos Litoral ME,10000341000187,ME,5,2026-03-17,1
342,Tecnologia Souza ME,10000342000194,ME,12,2025-02-24,1
343,Servicos Central Ltda,10000343000101,MEI,11,2025-05-07,1
344,Distribuidora Silva ME,10000344000108,EPP,5,2026-03-19,1
345,Servicos Souza ME,10000345000115,EPP,14,2026-01-05,1
346,Servicos Souza S.A.,10000346000122,GRANDE,11,2025-08-28,1
347,Confeccoes Central Ltda,10000347000129,MEI,16,2025-07-21,1
348,Servicos Souza e Cia,10000348000136,MEI,15,2025-01-26,1
349,Construtora Norte S.A.,10000349000143,MEI,10,2025-01-05,1
350,Tecnologia Souza ME,10000350000150,ME,4,2026-01-27,1
351,Alimentos Silva S.A.,10000351000157,MEI,13,2025-10-15,1
352,Alimentos Norte ME,10000352000164,MEI,7,2025-09-16,1
353,Transportes Oeste e Cia,10000353000171,ME,15,2025-03-02,1
354,Distribuidora Central ME,10000354000178,ME,5,2025-06-23,1
355,Industria Souza e Cia,10000355000185,ME,12,2025-09-14,1
356,Comercial Silva EIRELI,10000356000192,ME,2,2026-02-16,1
357,Transportes Central EIRELI,10000357000199,ME,16,2025-09-21,1
358,Alimentos Norte ME,10000358000106,MEI,5,2025-11-12,1
359,Papelaria Oeste e Cia,10000359000113,EPP,10,2025-09-30,1
360,Papelaria Oeste S.A.,10000360000120,EPP,16,2025-07-08,1
361,Distribuidora Central e Cia,10000361000127,MEI,11,2026-04-06,1
362,Papelaria Central ME,10000362000134,MEDIA,1,2026-02-05,1
363,Comercial Norte S.A.,10000363000141,MEI,8,2025-11-19,1
364,Industria Litoral EIRELI,10000364000148,MEI,13,2026-05-01,1
365,Servicos Silva S.A.,10000365000155,MEI,4,2025-03-19,1
366,Servicos Central e Cia,10000366000162,ME,14,2026-04-17,1
367,Comercial Litoral EIRELI,10000367000169,ME,16,2025-10-15,1
368,Construtora Norte S.A.,10000368000176,MEI,11,2025-03-30,1
369,Transportes Oeste e Cia,10000369000183,MEI,15,2026-01-31,1
370,Papelaria Central EIRELI,10000370000190,MEDIA,9,2025-05-23,1
371,Servicos Oeste ME,10000371000197,ME,10,2025-12-20,1
372,Alimentos Central ME,10000372000104,ME,16,2026-04-24,1
373,Confeccoes Silva e Cia,10000373000111,ME,9,2025-07-14,1
374,Alimentos Souza ME,10000374000118,MEI,13,2026-05-05,1
375,Alimentos Central ME,10000375000125,ME,3,2025-04-20,1
376,Transportes Oeste e Cia,10000376000132,ME,7,2025-03-12,1
377,Papelaria Litoral e Cia,10000377000139,MEI,4,2025-01-26,1
378,Servicos Silva Ltda,10000378000146,MEI,8,2026-01-03,1
379,Distribuidora Litoral EIRELI,10000379000153,MEI,16,2025-10-09,1
380,Tecnologia Litoral S.A.,10000380000160,ME,6,2025-04-13,1
381,Alimentos Oeste Ltda,10000381000167,EPP,10,2025-02-15,1
382,Transportes Litoral Ltda,10000382000174,EPP,8,2025-03-31,1
383,Industria Silva S.A.,10000383000181,ME,14,2025-04-06,1
384,Comercial Silva ME,10000384000188,ME,10,2025-02-24,1
385,Confeccoes Central e Cia,10000385000195,ME,11,2026-04-01,1
386,Transportes Central ME,10000386000102,MEI,5,2025-02-27,1
387,Industria Litoral S.A.,10000387000109,ME,11,2026-01-03,1
388,Comercial Litoral ME,10000388000116,ME,6,2025-10-18,1
389,Industria Norte S.A.,10000389000123,EPP,7,2025-09-21,1
390,Distribuidora Central Ltda,10000390000130,MEI,11,2025-03-13,1
391,Alimentos Souza Ltda,10000391000137,MEI,16,2025-05-01,1
392,Confeccoes Oeste ME,10000392000144,ME,15,2025-10-21,1
393,Confeccoes Litoral ME,10000393000151,ME,1,2025-02-01,1
394,Construtora Oeste EIRELI,10000394000158,MEI,4,2025-09-15,1
