cliente_id,razao_social,cnpj,porte,municipio,gestor_id,gestor,vertical,status,qtd_planos_concluidos,qtd_planos_inconsistentes,planos_concluidos,planos_inconsistentes,pj_distinto_oficial,elegivel_azul,respondeu,aumento_faturamento_pct
52,Comercial Central e Cia,10000052000164,GRANDE,FRANCA,3,Carla Dias,Turismo e Agronegocio,Sem atendimento,0,0,,,0,0,1,37.53
53,Transportes Souza e Cia,10000053000171,MEI,BAURU,3,Carla Dias,Turismo e Agronegocio,Participante,0,0,,,0,0,0,
54,Distribuidora Souza ME,10000054000178,MEI,CAMPINAS,12,Lucas Barros,Empreendedorismo Cultural,Participante,0,0,,,0,0,1,46.78
55,Papelaria Litoral e Cia,10000055000185,MEI,SAO CARLOS,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,1,51.9
56,Distribuidora Souza ME,10000056000192,MEI,RIBEIRAO PRETO,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,0,
57,Confeccoes Oeste e Cia,10000057000199,MEI,SAO JOSE DO RIO PRETO,5,Elisa Rocha,Empreendedorismo Cultural,Participante,0,0,,,0,0,0,
58,Confeccoes Norte S.A.,10000058000106,MEI,SAO JOSE DO RIO PRETO,7,Giovana Melo,Sustentabilidade,Participante,0,0,,,0,0,0,
59,Distribuidora Litoral S.A.,10000059000113,EPP,SOROCABA,2,Bruno Lima,Tecnologia e Inovacao,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
60,Alimentos Souza ME,10000060000120,MEI,MARILIA,1,Ana Souza,Comercio e Servicos,Participante,0,0,,,0,0,1,23.24
61,Transportes Silva Ltda,10000061000127,MEI,PRESIDENTE PRUDENTE,14,Nicolas Vieira,Sustentabilidade,Participante,0,0,,,0,0,0,
62,Transportes Silva ME,10000062000134,ME,BAURU,5,Elisa Rocha,Empreendedorismo Cultural,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
63,Industria Silva ME,10000063000141,MEI,FRANCA,14,Nicolas Vieira,Sustentabilidade,Participante,0,0,,,0,0,0,
64,Alimentos Souza EIRELI,10000064000148,ME,SOROCABA,2,Bruno Lima,Tecnologia e Inovacao,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
65,Papelaria Litoral EIRELI,10000065000155,EPP,RIBEIRAO PRETO,14,Nicolas Vieira,Sustentabilidade,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
66,Industria Central Ltda,10000066000162,MEI,MARILIA,6,Fabio Nunes,Consultoria Especializada,Participante,0,0,,,0,0,1,-1.61
67,Tecnologia Litoral EIRELI,10000067000169,MEI,CAMPINAS,11,Karina Reis,Atendimento ao Cliente,Concluinte,1,0,Plano C - Parcerias Corporativas,,1,1,1,25.24
68,Tecnologia Silva S.A.,10000068000176,MEI,CAMPINAS,4,Diego Alves,Atendimento ao Cliente,Participante,0,0,,,0,0,1,0.95
69,Alimentos Oeste EIRELI,10000069000183,MEI,ARACATUBA,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,0,
70,Tecnologia Oeste ME,10000070000190,EPP,SAO CARLOS,7,Giovana Melo,Sustentabilidade,Participante,0,0,,,0,0,0,
71,Alimentos Litoral e Cia,10000071000197,MEI,ARACATUBA,9,Iara Costa,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,21.12
72,Comercial Silva ME,10000072000104,MEI,SAO CARLOS,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
73,Comercial Silva e Cia,10000073000111,MEI,SAO CARLOS,9,Iara Costa,Tecnologia e Inovacao,Concluinte,1,0,Plano A - Crescimento,,1,1,1,21.08
74,Tecnologia Norte e Cia,10000074000118,MEI,ARACATUBA,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,1,29.64
75,Confeccoes Silva S.A.,10000075000125,MEI,CAMPINAS,7,Giovana Melo,Sustentabilidade,Participante,0,0,,,0,0,0,
76,Alimentos Central Ltda,10000076000132,EPP,RIBEIRAO PRETO,7,Giovana Melo,Sustentabilidade,Participante,0,0,,,0,0,1,12.99
77,Papelaria Oeste Ltda,10000077000139,ME,ARACATUBA,11,Karina Reis,Atendimento ao Cliente,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
78,Tecnologia Oeste S.A.,10000078000146,ME,SAO CARLOS,10,Joao Pedro,Turismo e Agronegocio,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
79,Servicos Central S.A.,10000079000153,ME,ARACATUBA,5,Elisa Rocha,Empreendedorismo Cultural,Sem atendimento,0,0,,,0,0,0,
80,Papelaria Norte ME,10000080000160,MEI,RIBEIRAO PRETO,6,Fabio Nunes,Consultoria Especializada,Participante,0,0,,,0,0,1,21.81
81,Confeccoes Oeste EIRELI,10000081000167,MEI,FRANCA,1,Ana Souza,Comercio e Servicos,Participante,0,0,,,0,0,0,
82,Construtora Central S.A.,10000082000174,ME,PRESIDENTE PRUDENTE,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
83,Industria Litoral Ltda,10000083000181,MEI,ARACATUBA,16,Paulo Cezar,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,46.27
84,Distribuidora Souza ME,10000084000188,MEI,BAURU,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
85,Comercial Silva EIRELI,10000085000195,MEDIA,RIBEIRAO PRETO,5,Elisa Rocha,Empreendedorismo Cultural,Sem atendimento,0,0,,,0,0,0,
86,Construtora Central e Cia,10000086000102,MEI,RIBEIRAO PRETO,3,Carla Dias,Turismo e Agronegocio,Participante,0,0,,,0,0,0,
87,Construtora Central EIRELI,10000087000109,MEI,RIBEIRAO PRETO,13,Mariana Teles,Consultoria Especializada,Participante,0,0,,,0,0,0,
88,Distribuidora Central EIRELI,10000088000116,MEI,SAO JOSE DO RIO PRETO,1,Ana Souza,Comercio e Servicos,Sem atendimento,0,0,,,0,0,0,
89,Comercial Norte EIRELI,10000089000123,EPP,FRANCA,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,1,-6.67
90,Industria Central e Cia,10000090000130,MEDIA,SAO CARLOS,15,Olivia Prado,Comercio e Servicos,Sem atendimento,0,0,,,0,0,0,
91,Construtora Norte e Cia,10000091000137,MEI,FRANCA,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,1,59.55
92,Industria Litoral S.A.,10000092000144,ME,CAMPINAS,15,Olivia Prado,Comercio e Servicos,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,1,31.69
93,Confeccoes Norte S.A.,10000093000151,ME,FRANCA,8,Hugo Ramos,Comercio e Servicos,Sem atendimento,0,0,,,0,0,0,
94,Distribuidora Litoral ME,10000094000158,MEI,PRESIDENTE PRUDENTE,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,0,
95,Transportes Silva EIRELI,10000095000165,MEI,MARILIA,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
96,Servicos Silva S.A.,10000096000172,MEI,SOROCABA,5,Elisa Rocha,Empreendedorismo Cultural,Participante,0,0,,,0,0,1,20.84
97,Tecnologia Silva EIRELI,10000097000179,EPP,SAO CARLOS,15,Olivia Prado,Comercio e Servicos,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
98,Papelaria Central S.A.,10000098000186,MEI,BAURU,1,Ana Souza,Comercio e Servicos,Participante,0,0,,,0,0,0,
99,Tecnologia Central e Cia,10000099000193,ME,BAURU,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,0,
100,Construtora Souza ME,10000100000100,MEI,SAO CARLOS,8,Hugo Ramos,Comercio e Servicos,Participante,0,0,,,0,0,0,
101,Alimentos Litoral S.A.,10000101000107,ME,CAMPINAS,13,Mariana Teles,Consultoria Especializada,Participante,0,0,,,0,0,0,
102,Industria Norte e Cia,10000102000114,MEI,RIBEIRAO PRETO,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,0,
103,Distribuidora Litoral S.A.,10000103000121,MEI,SOROCABA,1,Ana Souza,Comercio e Servicos,Participante,0,0,,,0,0,1,40.31
104,Comercial Oeste S.A.,10000104000128,MEI,MARILIA,6,Fabio Nunes,Consultoria Especializada,Participante,0,0,,,0,0,1,-3.39
105,Alimentos Central ME,10000105000135,ME,PRESIDENTE PRUDENTE,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
106,Confeccoes Silva S.A.,10000106000142,MEI,RIBEIRAO PRETO,14,Nicolas Vieira,Sustentabilidade,Participante,0,0,,,0,0,0,
107,Alimentos Souza Ltda,10000107000149,ME,BAURU,2,Bruno Lima,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
108,Comercial Souza EIRELI,10000108000156,EPP,SAO CARLOS,2,Bruno Lima,Tecnologia e Inovacao,Sem atendimento,0,0,,,0,0,1,43.43
109,Servicos Souza S.A.,10000109000163,ME,PRESIDENTE PRUDENTE,5,Elisa Rocha,Empreendedorismo Cultural,Participante,0,1,,Plano C - Parcerias Corporativas,0,1,0,
110,Construtora Litoral ME,10000110000170,ME,FRANCA,7,Giovana Melo,Sustentabilidade,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
111,Industria Oeste Ltda,10000111000177,ME,BAURU,4,Diego Alves,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
112,Papelaria Litoral S.A.,10000112000184,MEI,BAURU,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,0,
113,Distribuidora Norte EIRELI,10000113000191,MEI,SOROCABA,7,Giovana Melo,Sustentabilidade,Sem atendimento,0,0,,,0,0,0,
114,Papelaria Silva e Cia,10000114000198,ME,ARACATUBA,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,1,32.14
115,Alimentos Silva e Cia,10000115000105,ME,RIBEIRAO PRETO,14,Nicolas Vieira,Sustentabilidade,Participante,0,0,,,0,0,0,
116,Construtora Silva S.A.,10000116000112,MEDIA,FRANCA,14,Nicolas Vieira,Sustentabilidade,Sem atendimento,0,0,,,0,0,0,
117,Industria Central EIRELI,10000117000119,ME,BAURU,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,0,
118,Papelaria Norte S.A.,10000118000126,ME,BAURU,9,Iara Costa,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
119,Alimentos Souza Ltda,10000119000133,MEI,PRESIDENTE PRUDENTE,9,Iara Costa,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,38.86
120,Construtora Norte e Cia,10000120000140,ME,BAURU,8,Hugo Ramos,Comercio e Servicos,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
121,Construtora Oeste EIRELI,10000121000147,ME,PRESIDENTE PRUDENTE,1,Ana Souza,Comercio e Servicos,Participante,0,0,,,0,0,0,
122,Alimentos Oeste e Cia,10000122000154,ME,SAO JOSE DO RIO PRETO,9,Iara Costa,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,-2.95
123,Transportes Souza Ltda,10000123000161,MEI,RIBEIRAO PRETO,1,Ana Souza,Comercio e Servicos,Sem atendimento,0,0,,,0,0,1,27.76
124,Transportes Souza S.A.,10000124000168,ME,FRANCA,16,Paulo Cezar,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
125,Comercial Silva ME,10000125000175,MEI,ARACATUBA,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,1,44.81
126,Confeccoes Litoral e Cia,10000126000182,MEI,RIBEIRAO PRETO,8,Hugo Ramos,Comercio e Servicos,Participante,0,0,,,0,0,0,
127,Tecnologia Litoral e Cia,10000127000189,MEI,SOROCABA,12,Lucas Barros,Empreendedorismo Cultural,Participante,0,0,,,0,0,1,22.89
128,Confeccoes Oeste ME,10000128000196,MEI,PRESIDENTE PRUDENTE,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,1,24.8
129,Alimentos Silva e Cia,10000129000103,MEDIA,CAMPINAS,7,Giovana Melo,Sustentabilidade,Sem atendimento,0,0,,,0,0,0,
130,Servicos Souza S.A.,10000130000110,MEI,MARILIA,6,Fabio Nunes,Consultoria Especializada,Participante,0,0,,,0,0,1,24.98
131,Distribuidora Souza ME,10000131000117,MEI,MARILIA,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,1,11.23
132,Comercial Litoral e Cia,10000132000124,MEI,BAURU,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,0,
133,Transportes Oeste EIRELI,10000133000131,ME,PRESIDENTE PRUDENTE,2,Bruno Lima,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
134,Distribuidora Silva e Cia,10000134000138,MEI,SAO CARLOS,16,Paulo Cezar,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,22.87
135,Alimentos Souza Ltda,10000135000145,MEI,MARILIA,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,0,
136,Distribuidora Silva S.A.,10000136000152,ME,RIBEIRAO PRETO,16,Paulo Cezar,Tecnologia e Inovacao,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
137,Industria Souza e Cia,10000137000159,EPP,RIBEIRAO PRETO,2,Bruno Lima,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,-2.39
138,Distribuidora Norte S.A.,10000138000166,ME,CAMPINAS,8,Hugo Ramos,Comercio e Servicos,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,1,29.15
139,Transportes Central S.A.,10000139000173,EPP,RIBEIRAO PRETO,8,Hugo Ramos,Comercio e Servicos,Participante,0,0,,,0,0,0,
140,Confeccoes Norte e Cia,10000140000180,MEI,SAO JOSE DO RIO PRETO,14,Nicolas Vieira,Sustentabilidade,Participante,0,0,,,0,0,0,
141,Servicos Litoral EIRELI,10000141000187,MEI,CAMPINAS,4,Diego Alves,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
142,Servicos Souza e Cia,10000142000194,MEI,RIBEIRAO PRETO,6,Fabio Nunes,Consultoria Especializada,Participante,0,0,,,0,0,0,
143,Construtora Litoral e Cia,10000143000101,ME,MARILIA,14,Nicolas Vieira,Sustentabilidade,Concluinte,1,0,Plano A - Crescimento,,1,1,1,8.12
144,Confeccoes Litoral ME,10000144000108,ME,FRANCA,8,Hugo Ramos,Comercio e Servicos,Participante,0,0,,,0,0,1,-4.46
145,Servicos Oeste e Cia,10000145000115,ME,CAMPINAS,3,Carla Dias,Turismo e Agronegocio,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
146,Tecnologia Silva e Cia,10000146000122,MEI,RIBEIRAO PRETO,7,Giovana Melo,Sustentabilidade,Participante,0,0,,,0,0,0,
147,Industria Silva Ltda,10000147000129,MEI,CAMPINAS,9,Iara Costa,Tecnologia e Inovacao,Concluinte,1,0,Plano A - Crescimento,,1,1,0,
148,Construtora Silva S.A.,10000148000136,ME,FRANCA,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,1,11.94
149,Confeccoes Norte e Cia,10000149000143,ME,BAURU,13,Mariana Teles,Consultoria Especializada,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
150,Tecnologia Litoral ME,10000150000150,ME,MARILIA,2,Bruno Lima,Tecnologia e Inovacao,Sem atendimento,0,0,,,0,0,1,18.73
151,Servicos Litoral e Cia,10000151000157,ME,SAO JOSE DO RIO PRETO,3,Carla Dias,Turismo e Agronegocio,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
152,Papelaria Silva EIRELI,10000152000164,ME,MARILIA,9,Iara Costa,Tecnologia e Inovacao,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
153,Confeccoes Souza e Cia,10000153000171,MEI,SAO CARLOS,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,0,
154,Distribuidora Central ME,10000154000178,MEI,RIBEIRAO PRETO,16,Paulo Cezar,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
155,Industria Oeste S.A.,10000155000185,ME,CAMPINAS,4,Diego Alves,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
156,Transportes Silva S.A.,10000156000192,MEI,SAO JOSE DO RIO PRETO,13,Mariana Teles,Consultoria Especializada,Participante,0,0,,,0,0,1,-1.39
157,Distribuidora Central e Cia,10000157000199,EPP,CAMPINAS,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
158,Tecnologia Silva EIRELI,10000158000106,ME,PRESIDENTE PRUDENTE,15,Olivia Prado,Comercio e Servicos,Sem atendimento,0,0,,,0,0,0,
159,Construtora Silva EIRELI,10000159000113,MEI,ARACATUBA,16,Paulo Cezar,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
160,Construtora Litoral S.A.,10000160000120,MEI,SAO JOSE DO RIO PRETO,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,1,7.54
161,Industria Oeste e Cia,10000161000127,MEI,SAO JOSE DO RIO PRETO,8,Hugo Ramos,Comercio e Servicos,Participante,0,0,,,0,0,0,
162,Servicos Silva S.A.,10000162000134,EPP,SAO JOSE DO RIO PRETO,3,Carla Dias,Turismo e Agronegocio,Concluinte,1,0,Plano C - Parcerias Corporativas,,1,1,1,25.6
163,Construtora Litoral ME,10000163000141,ME,RIBEIRAO PRETO,5,Elisa Rocha,Empreendedorismo Cultural,Participante,0,0,,,0,0,0,
164,Construtora Central EIRELI,10000164000148,ME,CAMPINAS,14,Nicolas Vieira,Sustentabilidade,Participante,0,0,,,0,0,0,
165,Servicos Norte e Cia,10000165000155,ME,PRESIDENTE PRUDENTE,13,Mariana Teles,Consultoria Especializada,Participante,0,0,,,0,0,1,23.04
166,Confeccoes Central ME,10000166000162,EPP,SAO CARLOS,3,Carla Dias,Turismo e Agronegocio,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
167,Comercial Oeste ME,10000167000169,EPP,CAMPINAS,9,Iara Costa,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
168,Industria Central e Cia,10000168000176,ME,PRESIDENTE PRUDENTE,16,Paulo Cezar,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
169,Construtora Oeste EIRELI,10000169000183,MEDIA,SAO JOSE DO RIO PRETO,13,Mariana Teles,Consultoria Especializada,Sem atendimento,0,0,,,0,0,1,-4.58
170,Servicos Central Ltda,10000170000190,MEI,MARILIA,13,Mariana Teles,Consultoria Especializada,Participante,0,0,,,0,0,0,
171,Tecnologia Litoral EIRELI,10000171000197,ME,ARACATUBA,13,Mariana Teles,Consultoria Especializada,Participante,0,0,,,0,0,1,22.84
172,Transportes Norte ME,10000172000104,EPP,SOROCABA,5,Elisa Rocha,Empreendedorismo Cultural,Participante,0,0,,,0,0,1,23.47
173,Distribuidora Norte S.A.,10000173000111,MEI,PRESIDENTE PRUDENTE,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,0,
174,Industria Silva S.A.,10000174000118,ME,CAMPINAS,14,Nicolas Vieira,Sustentabilidade,Participante,0,0,,,0,0,0,
175,Papelaria Litoral S.A.,10000175000125,ME,MARILIA,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,1,28.05
176,Transportes Central ME,10000176000132,ME,ARACATUBA,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
177,Transportes Silva e Cia,10000177000139,MEI,SOROCABA,16,Paulo Cezar,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
178,Servicos Litoral Ltda,10000178000146,MEI,ARACATUBA,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,1,57.66
179,Construtora Souza ME,10000179000153,EPP,SAO CARLOS,4,Diego Alves,Atendimento ao Cliente,Concluinte,1,0,Plano B - Projetos Especiais,,1,1,0,
180,Comercial Oeste ME,10000180000160,MEI,CAMPINAS,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
